name,gpio,connector,position
TX,16,left,1
RX,17,left,2
IO0,0,left,3
IO1,1,left,4
IO2,2,left,5
IO3,3,left,6
IO4,4,left,7
IO5,5,left,8
IO6,6,left,9
IO7,7,left,10
IO23,23,left,11
IO22,22,left,12
IO20,20,right,4
IO19,19,right,5
IO18,18,right,6
IO15,15,right,7
IO14,14,right,8
IO9,9,right,9
IO8,8,right,10
IO12,12,right,11
IO13,13,right,12
IO21,21,right,13
RGB_LED,8,,
BOOT,9,,
LED,15,,
USB_DM,12,,
USB_DP,13,,
