name,gpio,connector,position
IO0,0,J1,1
IO1,1,J1,2
IO2,2,J1,3
IO3,3,J1,4
IO4,4,J1,5
IO5,5,J1,6
IO6,6,J1,7
IO7,7,J1,8
IO8,8,J1,9
IO9,9,J1,10
IO10,10,J1,11
TX,21,J1,12
RX,20,J1,13
MISO,2,,
SDA,5,,
SCL,6,,
CLK,6,,
MOSI,7,,
LED,8,,
BOOT,9,,
CS,10,,
USB_DM,18,,
USB_DP,19,,
