name,gpio,connector,position
IO2,2,,
IO3,3,,
IO4,4,,
IO5,5,,
IO6,6,,
IO11,11,,
IO12,12,,
IO13,13,,
IO14,14,,
IO15,15,,
IO16,16,,
IO17,17,,
IO18,18,,
IO21,21,,
IO33,33,,
IO34,34,,
IO35,35,,
IO36,36,,
IO37,37,,
IO38,38,,
IO39,39,,
IO40,40,,
IO41,41,,
IO42,42,,
SDA,47,,
SCL,48,,
TX,43,,
RX,44,,
CS,15,,
MISO,14,,
MOSI,13,,
CLK,12,,
LED,8,,
BOOT,0,,
SD_CLK,9,,
SD_CMD,10,,
SD_DATA0,11,,
SD_DATA3,7,,
USB_DM,19,,
USB_DP,20,,
