name,gpio,connector,position
IO0,0,header,4
IO1,1,header,5
IO2,2,header,6
IO3,3,header,7
IO4,4,header,8
IO5,5,header,9
IO8,8,header,10
IO9,9,header,11
IO10,10,header,12
IO11,11,header,13
IO12,12,header,14
IO13,13,header,15
IO14,14,header,16
IO22,22,header,17
IO23,23,header,18
IO25,25,header,19
IO26,26,header,20
IO27,27,header,21
RGB_LED,8,,
BOOT,9,,
LED,13,,
USB_DM,26,,
USB_DP,27,,
