name,gpio,connector,position
D0,1,header,D0
D1,0,header,D1
D2,25,header,D2
D3,7,header,D3
D4,23,header,D4
D5,24,header,D5
D6,11,header,D6
D7,12,header,D7
D8,8,header,D8
D9,9,header,D9
D10,10,header,D10
SDA,23,header,D4
SCL,24,header,D5
TX,11,header,D6
RX,12,header,D7
SCK,8,header,D8
MISO,9,header,D9
MOSI,10,header,D10
MTMS,2,,
MTDI,3,,
MTCK,4,,
MTDO,5,,
ADC_BAT,6,,
ADC_BAT_EN,26,,
USER_LED,27,,
BOOT,28,,
USB_DM,13,,
USB_DP,14,,
