name,gpio,connector,position
IO0,0,,
IO1,1,,
IO2,2,,
IO3,3,,
SCK,4,,
MISO,5,,
MOSI,6,,
CS,7,,
SDA,8,,
SCL,9,,
IO10,10,,
TX,21,,
RX,20,,
LED,8,,
BOOT,9,,
USB_DM,18,,
USB_DP,19,,
